date,actif,prix,bande_basse,moyenne,bande_haute,decision,position,capital,quantite_detenue,prix_entree,pnl_pct,valeur_totale
2026-07-16 18:01:17 UTC,ETH/USD,1869.32,1864.27,1867.72,1871.17,HOLD,0.0,964.09,0.0,,,964.09
2026-07-16 18:02:18 UTC,ETH/USD,1870.25,1864.39,1867.67,1870.95,HOLD,0.0,964.09,0.0,,,964.09
2026-07-16 18:03:15 UTC,ETH/USD,1868.68,1864.48,1867.6,1870.72,HOLD,0.0,964.09,0.0,,,964.09
2026-07-16 18:04:22 UTC,ETH/USD,1869.45,1864.49,1867.56,1870.63,HOLD,0.0,964.09,0.0,,,964.09
2026-07-16 18:05:24 UTC,ETH/USD,1868.49,1864.49,1867.55,1870.6,HOLD,0.0,964.09,0.0,,,964.09
2026-07-16 18:06:19 UTC,ETH/USD,1868.78,1864.49,1867.57,1870.66,HOLD,0.0,964.09,0.0,,,964.09
2026-07-16 18:07:17 UTC,ETH/USD,1870.38,1864.46,1867.7,1870.95,HOLD,0.0,964.09,0.0,,,964.09
2026-07-16 18:08:19 UTC,ETH/USD,1871.8,1864.29,1867.83,1871.37,HOLD,0.0,964.09,0.0,,,964.09
2026-07-16 18:09:16 UTC,ETH/USD,1871.88,1864.08,1867.97,1871.86,HOLD,0.0,964.09,0.0,,,964.09
2026-07-16 18:10:36 UTC,ETH/USD,1872.18,1863.88,1868.11,1872.34,HOLD,0.0,964.09,0.0,,,964.09
2026-07-16 18:11:18 UTC,ETH/USD,1872.96,1863.68,1868.37,1873.06,HOLD,0.0,964.09,0.0,,,964.09
2026-07-16 18:12:18 UTC,ETH/USD,1873.6,1863.69,1868.7,1873.7,HOLD,0.0,964.09,0.0,,,964.09
2026-07-16 18:13:17 UTC,ETH/USD,1872.55,1863.7,1868.97,1874.25,HOLD,0.0,964.09,0.0,,,964.09
2026-07-16 18:14:20 UTC,ETH/USD,1873.91,1863.68,1869.18,1874.68,HOLD,0.0,964.09,0.0,,,964.09
2026-07-16 18:15:32 UTC,ETH/USD,1873.17,1863.79,1869.45,1875.12,HOLD,0.0,964.09,0.0,,,964.09
2026-07-16 18:16:18 UTC,ETH/USD,1873.79,1864.57,1869.88,1875.2,HOLD,0.0,964.09,0.0,,,964.09
2026-07-16 18:17:18 UTC,ETH/USD,1874.89,1865.07,1870.38,1875.7,HOLD,0.0,964.09,0.0,,,964.09
